
Fixed Plot Data
Iteration 0,Iteration 1,Iteration 2,Iteration 3,Iteration 4
1.0,1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0,1.0
0.9861111111111112,1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0,1.0

Flexible Plot Data
Iteration 0,Iteration 1,Iteration 2,Iteration 3,Iteration 4
0.8048780487804879,0.6627906976744186,0.8181818181818182,0.6744186046511628,0.7727272727272727
0.7,0.8181818181818182,0.8571428571428571,0.75,0.8571428571428571
0.6585365853658537,0.7916666666666666,0.6585365853658537,0.6666666666666666,0.6744186046511628
0.7368421052631579,0.8076923076923077,0.8,0.8,0.7938144329896907
0.8611111111111112,0.6666666666666666,0.6956521739130435,0.7368421052631579,0.8
0.8,0.6956521739130435,0.6923076923076923,0.6666666666666666,0.7692307692307693
0.6944444444444444,0.6666666666666666,0.7468354430379747,0.7272727272727273,0.7142857142857143
0.8,0.8275862068965517,0.7,0.8305084745762712,0.8
0.6666666666666666,0.6666666666666666,0.8305084745762712,0.7471264367816092,0.6666666666666666
0.6666666666666666,0.7,0.6666666666666666,0.8,0.8

Fixed Bar Data
Iteration 0,Iteration 1,Iteration 2,Iteration 3,Iteration 4
1.0,1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0,1.0
1.0,1.0,1.0,0.6,1.0
1.0,1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0,1.0
1.0,0.6,1.0,1.0,1.0
1.0,1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0,1.0

Flexible Bar Data
Iteration 0,Iteration 1,Iteration 2,Iteration 3,Iteration 4
1.0,1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0,1.0

Fixed Dictator Income Data
Iteration 0,Iteration 1,Iteration 2,Iteration 3,Iteration 4
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.013888888888888888,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0

Fixed Decider Income Data
Iteration 0,Iteration 1,Iteration 2,Iteration 3,Iteration 4
0.9219512195121952,0.8651162790697674,0.9272727272727272,0.8697674418604651,0.9090909090909091
0.88,0.9272727272727272,0.9428571428571428,0.9,0.9428571428571428
0.8634146341463415,0.9166666666666666,0.8634146341463415,0.8666666666666667,0.8697674418604651
0.8947368421052632,0.9230769230769231,0.92,0.92,0.9175257731958762
0.9361111111111111,0.8666666666666667,0.8782608695652174,0.6,0.92
0.92,0.8782608695652174,0.8769230769230769,0.8666666666666667,0.9076923076923077
0.8777777777777778,0.8666666666666667,0.8987341772151899,0.8909090909090909,0.8857142857142857
0.92,0.6,0.88,0.9322033898305084,0.92
0.8666666666666667,0.8666666666666667,0.9322033898305084,0.8988505747126436,0.8666666666666667
0.8666666666666667,0.88,0.8666666666666667,0.92,0.92

Flexible Dictator Income Data
Iteration 0,Iteration 1,Iteration 2,Iteration 3,Iteration 4
0.1951219512195122,0.3372093023255814,0.18181818181818182,0.32558139534883723,0.22727272727272727
0.3,0.18181818181818182,0.14285714285714285,0.25,0.14285714285714285
0.34146341463414637,0.20833333333333334,0.34146341463414637,0.3333333333333333,0.32558139534883723
0.2631578947368421,0.19230769230769232,0.2,0.2,0.20618556701030927
0.1388888888888889,0.3333333333333333,0.30434782608695654,0.15789473684210525,0.2
0.2,0.30434782608695654,0.3076923076923077,0.3333333333333333,0.23076923076923078
0.3055555555555556,0.3333333333333333,0.25316455696202533,0.2727272727272727,0.2857142857142857
0.2,0.10344827586206896,0.3,0.1694915254237288,0.2
0.3333333333333333,0.3333333333333333,0.1694915254237288,0.25287356321839083,0.3333333333333333
0.3333333333333333,0.3,0.3333333333333333,0.2,0.2

Flexible Decider Income Data
Iteration 0,Iteration 1,Iteration 2,Iteration 3,Iteration 4
0.8829268292682927,0.7976744186046512,0.8909090909090909,0.8046511627906977,0.8636363636363636
0.82,0.8909090909090909,0.9142857142857143,0.85,0.9142857142857143
0.7951219512195122,0.875,0.7951219512195122,0.8,0.8046511627906977
0.8421052631578947,0.8846153846153846,0.88,0.88,0.8762886597938144
0.9111111111111111,0.8,0.8173913043478261,0.8421052631578947,0.88
0.88,0.8173913043478261,0.8153846153846154,0.8,0.8615384615384616
0.8166666666666667,0.8,0.8481012658227848,0.8363636363636363,0.8285714285714286
0.88,0.896551724137931,0.82,0.8983050847457628,0.88
0.8,0.8,0.8983050847457628,0.8482758620689655,0.8
0.8,0.82,0.8,0.88,0.88
