Fixed Plot Data
Iteration 0,Iteration 1,Iteration 2,Iteration 3,Iteration 4,Iteration 5,Iteration 6,Iteration 7,Iteration 8,Iteration 9
0.9782608695652174,0.9887640449438202,0.9888888888888889,0.9897959183673469,0.975,0.9879518072289156,0.98,0.9873417721518988,0.96875,0.9846153846153847
0.9883720930232558,0.9615384615384616,0.984375,0.9838709677419355,0.9833333333333333,0.9230769230769231,0.823943661971831,0.9861111111111112,0.9818181818181818,0.984375
0.9782608695652174,0.9,0.9887640449438202,0.9285714285714286,0.9615384615384616,0.972972972972973,0.9873417721518988,0.9761904761904762,0.9603174603174603,0.9876543209876543
0.9857142857142858,0.9893617021276596,0.9896907216494846,0.9841269841269841,0.9841269841269841,0.96,0.9666666666666667,0.9761904761904762,0.9845679012345679,0.9873417721518988
0.9876543209876543,0.9857142857142858,0.9893617021276596,0.9880952380952381,0.9887640449438202,0.9782608695652174,0.9230769230769231,0.975,0.9878048780487805,0.9827586206896551
0.9867724867724867,0.9864864864864865,0.9915824915824916,0.9857142857142858,0.9621212121212122,0.9888888888888889,0.96875,0.9876543209876543,0.9948453608247423,0.9814814814814815
0.990530303030303,0.9743589743589743,0.9166666666666666,0.96,0.9747474747474747,0.9857142857142858,0.9444444444444444,0.9873737373737373,0.9866666666666667,0.9882352941176471
0.9666666666666667,0.9888888888888889,0.9859154929577465,0.9090909090909091,0.9833333333333333,0.9807692307692307,0.9166666666666666,0.96875,0.9411764705882353,0.9743589743589743
0.9850746268656716,0.9836065573770492,0.9841269841269841,0.9655172413793104,0.9887640449438202,0.9895833333333334,0.9722222222222222,0.9878048780487805,0.9888888888888889,0.9886363636363636
0.9285714285714286,0.96875,0.9855072463768116,0.9411764705882353,0.99,0.9859154929577465,0.9473684210526315,0.9827586206896551,0.9772727272727273,0.9545454545454546
0.987012987012987,0.9888888888888889,0.9920634920634921,0.9780701754385965,0.9911347517730497,0.9846153846153847,0.9866666666666667,0.989010989010989,0.9885844748858448,0.975
0.9782608695652174,0.99,0.9876543209876543,0.9411764705882353,0.96,0.9444444444444444,0.9897959183673469,0.9897959183673469,0.967741935483871,0.98
0.9814814814814815,0.9886363636363636,0.9696969696969697,0.9811320754716981,0.9090909090909091,0.9830508474576272,0.9888888888888889,0.984375,0.9866666666666667,0.9722222222222222
0.993127147766323,0.993127147766323,0.9859154929577465,0.9857142857142858,0.9652777777777778,0.9867724867724867,0.9933333333333333,0.96875,0.9444444444444444,0.9814814814814815
0.9818181818181818,0.9876543209876543,0.9895833333333334,0.9691358024691358,0.9615384615384616,0.9873417721518988,0.9814814814814815,0.9285714285714286,0.9850746268656716,0.9897959183673469
0.9629629629629629,0.9666666666666667,0.975609756097561,0.9787234042553191,0.9821428571428571,0.9888888888888889,0.9655172413793104,0.9887640449438202,0.9833333333333333,0.9882352941176471
0.9285714285714286,0.9375,0.9893617021276596,0.9,0.9893617021276596,0.989010989010989,0.9861111111111112,0.9866666666666667,0.9166666666666666,0.9411764705882353
0.9890350877192983,0.9230769230769231,0.9722222222222222,0.9899598393574297,0.9814814814814815,0.975609756097561,0.9787234042553191,0.9866666666666667,0.984375,0.9786324786324786
0.9873417721518988,0.9873417721518988,0.9838709677419355,0.9912280701754386,0.9864864864864865,0.9666666666666667,0.9,0.9473684210526315,0.9583333333333334,0.95
0.989247311827957,0.9787234042553191,0.975609756097561,0.9833333333333333,0.9861111111111112,0.803030303030303,0.972972972972973,0.98989898989899,0.9230769230769231,0.9882352941176471

Flexible Plot Data
Iteration 0,Iteration 1,Iteration 2,Iteration 3,Iteration 4,Iteration 5,Iteration 6,Iteration 7,Iteration 8,Iteration 9
0.5,0.9887640449438202,0.9888888888888889,0.9897959183673469,0.975,0.9879518072289156,0.98,0.9873417721518988,0.96875,0.9846153846153847
0.75,0.9615384615384616,0.984375,0.9838709677419355,0.9833333333333333,0.9230769230769231,0.9859154929577465,0.9861111111111112,0.9818181818181818,0.984375
0.021739130434782608,0.9,0.5,0.5,0.038461538461538464,0.02702702702702703,0.012658227848101266,0.023809523809523808,0.047619047619047616,0.012345679012345678
0.75,0.9893617021276596,0.9896907216494846,0.9841269841269841,0.9841269841269841,0.96,0.9666666666666667,0.9523809523809523,0.9814814814814815,0.9873417721518988
0.5,0.9857142857142858,0.9893617021276596,0.9880952380952381,0.9887640449438202,0.5,0.07692307692307693,0.975,0.9878048780487805,0.9827586206896551
1.0,0.9864864864864865,0.98989898989899,0.9857142857142858,0.9545454545454546,0.9888888888888889,0.96875,0.9876543209876543,0.9896907216494846,0.9814814814814815
0.5,0.9615384615384616,0.9,0.96,0.9696969696969697,0.9857142857142858,0.9444444444444444,0.9848484848484849,0.9866666666666667,0.9882352941176471
